,radius,period,Snacks,apoapsis,ElectricCharge,retrograde,semi_major_axis,speed,argument_of_periapsis,roll,prograde,time_to_apoapsis,body,MonoPropellant,SolidFuel,anti_normal,velocity,eccentricity,normal,heading,anti_radial,vertical_speed,latitude,rotation,longitude,mean_altitude,periapsis_altitude,semi_minor_axis,periapsis,longitude_of_ascending_node,apoapsis_altitude,horizontal_speed,pitch,direction,inclination,radial,time_to_periapsis
0,,,,,,"(-0.19331940549076865, -0.0008405533643804634, -0.98113551608875)",,0.0,,-53.487335205078125,"(0.1870650399461573, 0.0008148401393304376, 0.9823471926287024)",,,,,"(5.2906580594400815e-09, -0.9999995884269384, 0.0009072739133403766)","(0.0, 0.0, 0.0)",,"(-5.146722197079193e-09, 0.9999996105163935, -0.0008825911066377342)",306.7044372558594,"(-0.9759113977077037, 0.00020812280092822493, 0.2181671389304473)",0.0,-0.09721114980799853,"(-0.5002555725143027, -0.4995630400272708, -0.497574818410064, 0.5025938196378612)",-74.55767473649314,77.70715645584278,,,,,,0.0,89.61843872070312,"(0.999976086793631, 0.004163094352951795, -0.005522181299528511)",,"(0.9772735054753905, -0.00019734873302767726, -0.2119822080961548)",
1,600094.9543127037,551.8422240041933,,600177.280836176,,,300880.8950478361,181.57242940489226,2.252580029881018,,,5.320768597001688,<krpc.services.spacecenter.CelestialBody object at 0x00000286CA8FDE20>,,,,,0.9948180279500207,,,,,,,,,-598439.8157564496,30599.205521247113,1560.3826013202945,2.047198487589083,189.15826859301887,,,,0.002142727625267294,,281.3721845486943
2,,,50.0,,47.92380905151367,,,,,,,,,10.0,122.59673309326172,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,"(-0.5771836872199796, -0.002494339660494258, -0.8166105372065733)",,0.0,,-53.42413330078125,"(0.5771836872199796, 0.002494339660494258, 0.8166105372065733)",,,,,"(1.7812036861523245e-08, -0.9999953350069346, 0.003054499037212719)","(0.0, 0.0, 0.0)",,"(-1.7812036861523245e-08, 0.9999953350069346, -0.003054499037212719)",306.5958557128906,"(-0.8166143466821715, 0.001762992471411322, 0.5771809947065106)",0.0,-0.09716085198628066,"(-0.5002360083200815, -0.4995854853003061, -0.4978853042111574, 0.5022833208689333)",-74.557747383925,201.614429498557,,,,,,0.0,89.64007568359375,"(0.999980234334666, 0.003748293215498274, -0.005047894408272117)",,"(0.8166143466821715, -0.001762992471411322, -0.5771809947065106)",
4,600201.6144278401,552.865006577038,,600979.9140977041,,,301265.91034585924,213.33364862894828,2.638448945565943,,,12.647089096554339,<krpc.services.spacecenter.CelestialBody object at 0x00000286CA8FDE20>,,,,,0.9948487149036119,,,,,,,,,-598448.0934059856,30539.559452592643,1551.9065940144092,1.6520961968504166,979.9140977041097,,,,0.0034936489264983843,,289.07959238507334
5,,,50.0,,47.92276382446289,,,,,,,,,10.0,106.77568054199219,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,"(-0.7320634268239976, -0.0031691488306048485, -0.6812291065437508)",,0.0,,-53.402191162109375,"(0.7320634268239976, 0.0031691488306048485, 0.6812291065437508)",,,,,"(2.7128060797743103e-08, -0.9999891790926296, 0.004652063805250185)","(0.0, 0.0, 0.0)",,"(-2.7128060797743103e-08, 0.9999891790926296, -0.004652063805250185)",306.6177978515625,"(-0.6812364781092592, 0.003405587290650708, 0.7320555053194395)",0.0,-0.09709672022921326,"(-0.5002389378960281, -0.4995825527635956, -0.4978595500220687, 0.5023088883449093)",-74.55784481237197,356.96574754233006,,,,,,0.0,89.63629150390625,"(0.9999797730322948, 0.003793724498412467, -0.005105015250751247)",,"(0.6812364781092592, -0.003405587290650708, -0.7320555053194395)",
7,600356.965747534,554.4691276985042,,602151.4276605324,,,301848.37153455394,255.12047460882445,2.7977979602518204,,,19.23540475142528,<krpc.services.spacecenter.CelestialBody object at 0x00000286CA8FDE20>,,,,,0.9948804911528286,,,,,,,,,-598454.6845914245,30504.325586046103,1545.3154085754236,1.4949175028978932,2151.427660532412,,,,0.004951121585154914,,296.46996860067736
8,,,50.0,,47.92251968383789,,,,,,,,,10.0,90.95463562011719,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,"(-0.8254382410117784, -0.0035728840394889058, -0.5644811288032782)",,0.0,,-53.5233154296875,"(0.8254382410117784, 0.0035728840394889058, 0.5644811288032782)",,,,,"(3.6909204686932234e-08, -0.9999799692460056, 0.006329384389982158)","(0.0, 0.0, 0.0)",,"(-3.6909204686932234e-08, 0.9999799692460056, -0.006329384389982158)",306.4967346191406,"(-0.5644924359771193, 0.005224495083004744, 0.8254217069933076)",0.0,-0.09700558771574522,"(-0.5002456254398303, -0.49957580085376313, -0.49784670014280574, 0.5023216291440323)",-74.55798875968912,577.5395753583871,,,,,,0.0,89.63308715820312,"(0.9999795266051607, 0.003805932149950312, -0.005144050056962831)",,"(0.5644924359771193, -0.005224495083004744, -0.8254217069933076)",
10,600577.5395753668,556.861850626198,,603893.7952844187,,,302716.13377827336,307.09014336923065,2.887729040343118,,,26.21339337196946,<krpc.services.spacecenter.CelestialBody object at 0x00000286CA8FDE20>,,,,,0.9949177724592149,,,,,,,,,-598461.527727872,30480.712907594312,1538.4722721279377,1.4072385712136222,3893.7952844187384,,,,0.006551942759960385,,304.64431868506847
11,,,50.0,,47.922386169433594,,,,,,,,,10.0,75.13358306884766,,,,,,,,,,,,,,,,,,,,,,
